file,size,heuristic_rects,heuristic_sel_pct,heuristic_payload_pct,heuristic_ms,iforest_rects,iforest_sel_pct,iforest_payload_pct,iforest_ms
"102357.90499353409 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,245,44.66,45.13,46,287,14.91,15.46,157
"102405.56095552444 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,320,49.85,50.47,63,306,15.38,15.97,140
"102453.59194993973 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,307,46.65,47.24,63,293,14.81,15.38,156
"102501.59397649765 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,210,43.4,43.81,63,316,16.49,17.09,142
"102552.39795780182 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,309,48.25,48.85,62,309,14.47,15.06,157
"102599.91796159744 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,304,48.57,49.16,63,299,15.55,16.13,157
"102647.5339884758 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,267,47.88,48.4,63,333,17.13,17.77,157
"102695.43099164963 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,294,48.99,49.56,47,265,14.17,14.68,157
"102743.45596599579 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,300,49.73,50.31,58,247,12.62,13.1,142
"102791.60998439789 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,286,48.5,49.05,46,276,14.62,15.15,157
"102837.55696201324 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,267,48.5,49.01,46,256,14.96,15.45,141
"102887.65695285797 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,284,50.27,50.82,62,248,13.71,14.18,141
"102934.43797826767 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,314,50.96,51.56,65,278,16.36,16.9,149
"102982.00995731354 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,286,49.9,50.45,63,281,15.7,16.24,156
"103029.46898555756 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,267,48.99,49.5,63,284,16.29,16.84,163
"103079.60998439789 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,266,49.41,49.92,55,257,13.19,13.68,142
"103125.5009932518 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,274,49.16,49.69,67,267,13.43,13.95,154
"103175.8169913292 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,273,49.36,49.88,47,306,17.27,17.86,161
"103221.5779428482 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,308,50.42,51.01,62,376,18.31,19.03,158
"103271.3879570961 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,300,49.01,49.59,51,286,15.21,15.76,152
"103317.59594345093 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,278,50.29,50.83,47,304,15.8,16.38,157
"103365.55094194412 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,301,50.2,50.77,65,287,14.2,14.75,146
"103415.16497612 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,295,52.73,53.3,63,293,14.27,14.83,157
"103463.04594564438 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,256,50.02,50.52,63,313,15.58,16.18,141
"103511.49095392227 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,313,52.12,52.72,59,281,14.76,15.3,157
"103557.61597061157 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,230,49.36,49.8,47,345,16.41,17.08,157
"103607.39296388626 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,263,50.66,51.17,46,276,14.59,15.12,158
"103655.11896133423 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,328,52.58,53.21,62,305,14.05,14.64,157
"103703.41096448898 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,302,54.23,54.81,62,312,15.23,15.83,174
"103749.59797000885 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,288,50.98,51.54,63,308,15.8,16.39,222
"103799.76394319534 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,289,53.27,53.83,48,296,14.79,15.36,127
"103845.58694314957 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,337,55.68,56.33,62,266,14.54,15.05,141
"103895.91796159744 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,320,52.93,53.54,55,327,15.99,16.62,144
"103943.46895980835 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,331,54.16,54.79,52,320,16.24,16.86,138
"103993.6159787178 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,300,54.38,54.96,62,310,14.99,15.58,157
"104039.08999347687 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,233,48.97,49.41,47,348,17.84,18.51,157
"104087.19197702408 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,272,53.99,54.51,47,285,14.49,15.04,157
"104135.50794124603 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,289,53.35,53.9,52,314,16.58,17.19,147
"104183.53595542908 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,336,56.15,56.8,63,339,17.35,18.0,157
"104231.0929737091 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,228,50.29,50.73,46,316,16.49,17.09,151
"104279.38497686386 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,260,50.66,51.16,53,412,21.16,21.95,159
"104327.50698757172 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,304,54.77,55.36,63,324,17.35,17.97,157
"104373.94594192505 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,249,50.64,51.12,47,316,16.88,17.49,141
"104423.49196720123 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,299,53.71,54.29,52,313,16.58,17.19,157
"104469.46898555756 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,275,56.13,56.65,59,335,16.49,17.13,144
"104519.48994064331 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,322,59.74,60.36,63,287,15.35,15.91,157
"104581.07199144363 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,294,54.5,55.07,63,301,17.1,17.68,174
"104615.94198226929 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,275,53.74,54.27,47,342,19.73,20.39,157
"104663.0439786911 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,278,54.33,54.86,45,327,17.67,18.3,156
"104711.6789469719 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,242,51.28,51.74,47,295,13.85,14.42,157
"104757.57895612717 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,285,55.58,56.13,43,296,15.3,15.87,165
"104809.44795322418 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,320,58.39,59.0,53,314,15.06,15.66,135
"104853.57895612717 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,306,57.21,57.8,59,374,18.58,19.3,175
"104905.33696937561 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,279,55.95,56.49,63,304,16.73,17.32,194
"104949.54796171188 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,273,57.09,57.61,63,339,17.89,18.54,207
"104997.57299566269 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,309,58.51,59.11,71,299,15.13,15.71,159
"105047.40399074554 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,304,57.63,58.21,47,339,18.21,18.86,170
"105095.1689696312 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,307,57.23,57.82,63,340,16.02,16.67,157
"105141.57496261597 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,329,58.34,58.97,60,299,15.48,16.05,160
"105189.53699445724 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,332,57.95,58.59,68,345,19.09,19.76,153
"105239.7489824295 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,273,57.55,58.08,43,323,15.35,15.98,173
"105287.41096448898 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,312,59.3,59.9,62,306,14.52,15.11,157
"105334.46497917175 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,313,60.51,61.11,47,314,16.71,17.31,157
"105383.46997308731 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,323,59.74,60.36,63,306,14.3,14.88,157
"105430.9989771843 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,303,59.69,60.28,59,370,17.79,18.5,155
"105477.57299566269 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,290,59.82,60.37,63,328,15.72,16.35,157
"105527.73598861694 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,269,58.83,59.35,47,350,16.51,17.18,157
"105573.56894254684 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,242,57.43,57.9,47,347,16.66,17.33,158
"105623.70994138718 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,232,57.53,57.97,46,271,13.21,13.73,157
"105671.32996177673 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,263,59.57,60.08,46,270,12.11,12.63,157
"105721.18497753143 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,297,60.21,60.78,52,306,15.35,15.94,152
"105767.08695363998 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,259,57.95,58.44,47,327,16.39,17.02,157
"105815.46293973923 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,244,59.5,59.97,63,388,18.38,19.13,157
"105863.46198606491 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,265,58.98,59.49,47,356,15.3,15.99,172
"105911.5419754982 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,261,59.82,60.32,47,261,11.91,12.41,157
"105959.07097959518 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,269,59.77,60.28,63,309,14.52,15.11,157
