file,size,heuristic_rects,heuristic_sel_pct,heuristic_payload_pct,heuristic_ms,iforest_rects,iforest_sel_pct,iforest_payload_pct,iforest_ms
"113025.53395462036 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,26,97.61,97.66,17,268,12.33,12.84,155
"113073.11398029327 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,39,97.29,97.37,26,285,13.48,14.03,147
"113121.8649392128 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,16,97.66,97.69,15,289,13.07,13.62,157
"113169.05199146271 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,85,96.33,96.5,31,195,9.6,9.97,141
"113219.40095090866 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,16,97.66,97.69,21,228,11.27,11.71,144
"113265.82095098495 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,16,97.66,97.69,31,188,8.64,9.0,141
"113313.17096233368 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,16,97.66,97.69,15,226,9.72,10.15,150
"113361.09198617935 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,116,95.74,95.96,31,193,8.91,9.28,141
"113409.21197032928 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,142,94.95,95.23,35,201,8.66,9.05,137
"113457.06498527527 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,242,89.25,89.71,47,232,10.24,10.68,156
"113505.09597969055 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,147,95.57,95.85,31,213,9.1,9.51,141
"113553.55898857117 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,231,88.31,88.75,46,199,8.96,9.34,141
"113601.11696052551 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,70,96.33,96.47,31,184,7.43,7.78,141
"113649.54098796844 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,92,96.53,96.71,16,187,8.1,8.45,157
"113697.14294815063 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,171,93.5,93.83,31,160,7.01,7.32,141
"113745.16994905472 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,175,92.25,92.58,31,195,9.03,9.41,142
"113793.11994075775 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,50,96.9,96.99,31,136,7.63,7.89,141
"113841.08596611023 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,26,97.61,97.66,15,203,8.61,9.0,141
"113890.0719461441 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,86,96.58,96.74,31,196,9.1,9.48,141
"113937.05598497391 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,137,94.59,94.85,31,178,6.96,7.31,141
"113985.12697410583 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,16,97.66,97.69,31,230,9.45,9.89,146
"114032.95596837997 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,100,96.26,96.45,31,219,9.33,9.75,142
"114080.88599252701 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,57,97.19,97.3,31,223,10.01,10.44,142
"114128.95596837997 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,615,70.2,71.38,78,145,6.62,6.9,141
"114176.87597894669 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,234,92.96,93.41,37,191,9.08,9.45,135
"114224.8529715538 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,171,94.14,94.47,31,173,7.65,7.99,153
"114272.88497924805 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,32,97.46,97.53,31,176,8.54,8.88,142
"114320.99494981766 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,258,94.22,94.71,31,192,8.76,9.13,157
"114368.99894332886 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,322,86.71,87.33,46,220,10.04,10.46,142
"114416.94494152069 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,168,95.5,95.82,31,149,6.27,6.56,141
"114464.88694620132 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,351,81.59,82.27,62,208,8.17,8.57,145
"114512.94297456741 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,100,96.6,96.8,31,184,7.7,8.06,142
"114560.87997245789 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,69,97.34,97.47,31,218,9.52,9.94,142
"114608.88396596909 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,74,96.7,96.84,31,167,7.65,7.97,144
"114656.90095329285 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,38,97.59,97.66,15,183,8.1,8.45,141
"114704.89093971252 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,16,97.66,97.69,31,292,12.33,12.89,157
"114752.87699222565 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,16,97.66,97.69,16,261,12.99,13.49,157
"114800.88396596909 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,69,97.17,97.3,20,263,12.57,13.08,159
"114848.87997245789 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,44,97.44,97.52,15,287,13.8,14.36,156
"114896.89594650269 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,110,95.79,96.0,25,268,13.26,13.78,157
"114944.88599252701 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,163,94.14,94.46,37,263,12.52,13.03,162
"115005.39396762848 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,93,96.48,96.66,34,345,17.22,17.89,162
"115040.88295269012 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,149,94.98,95.27,31,307,14.54,15.13,160
"115088.96097517014 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,26,97.61,97.66,25,319,14.35,14.96,162
"115136.88098573685 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,182,92.81,93.16,31,319,15.55,16.16,157
"118774.55897569656 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,75,97.05,97.19,31,238,10.85,11.31,148
"118821.69596004486 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,36,97.56,97.63,31,275,13.66,14.18,157
"118870.22095775604 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,129,95.1,95.35,42,307,15.55,16.14,157
"118917.64297151566 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,150,92.4,92.68,35,295,12.72,13.29,161
"118966.60397720337 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,183,92.52,92.87,31,373,23.3,24.02,172
"119014.58096981049 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,131,91.76,92.01,31,368,20.18,20.88,204
"119062.26995277405 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,141,92.49,92.76,31,381,19.61,20.34,173
"119110.26095247269 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,165,91.39,91.7,39,398,20.42,21.19,170
"119158.56594944 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,161,91.04,91.35,31,360,17.32,18.01,156
"119206.55897569656 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,103,93.5,93.7,31,371,18.63,19.34,173
"119254.54896211624 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,110,92.99,93.2,22,363,18.01,18.71,177
"119302.24795866013 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,146,92.12,92.41,31,317,16.86,17.46,157
"93670.06097888947 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,245,21.26,21.73,47,181,10.88,11.22,142
"93717.75598192215 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,251,20.47,20.95,63,204,11.29,11.69,126
"93767.44595241547 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,257,20.79,21.29,63,202,13.34,13.72,141
"93813.553981781 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,262,20.84,21.34,70,171,12.7,13.03,134
"93863.14298200607 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,335,24.16,24.81,67,182,10.01,10.36,125
"93911.29998064041 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,324,24.04,24.66,63,177,13.21,13.55,141
"93963.96595144272 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,246,20.72,21.19,61,175,14.12,14.46,141
"94007.4449391365 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,268,21.21,21.73,63,205,13.39,13.78,141
"94054.26297903061 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,268,22.22,22.73,48,179,10.16,10.51,142
"94101.50999355316 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,265,21.38,21.89,47,176,10.9,11.24,141
"94149.94099473953 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,306,24.19,24.78,63,200,12.3,12.69,141
"94197.46499204636 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,277,22.34,22.87,60,196,14.35,14.72,142
"94245.5499882698 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,270,22.34,22.86,62,179,12.38,12.72,129
"94293.51994752884 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,318,24.09,24.7,61,195,11.74,12.11,144
"94341.94695520401 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,94,16.12,16.3,26,194,13.19,13.56,135
"94389.55094194412 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,334,25.76,26.4,62,204,12.48,12.87,142
"94437.88895988464 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,314,24.41,25.01,62,201,12.11,12.49,141
"94485.5659623146 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,247,21.33,21.81,62,198,11.81,12.19,126
"94533.99994373322 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,309,24.14,24.73,62,196,10.95,11.33,141
"94581.54694843292 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,263,22.59,23.09,63,189,10.33,10.7,126
"94631.53994894028 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,337,24.29,24.93,63,216,12.11,12.52,141
"94677.53496789932 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,285,22.56,23.11,63,199,12.06,12.44,145
"94727.71494817734 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,381,27.78,28.51,75,217,11.84,12.25,142
"94773.53997468948 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,354,25.93,26.62,82,201,11.52,11.9,122
"94823.7239484787 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,351,26.18,26.86,65,198,11.52,11.9,140
"94869.52799415588 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,361,26.43,27.12,61,227,12.67,13.11,141
"94917.60399007797 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,317,25.39,26.0,63,191,10.83,11.19,141
"94965.59194993973 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,304,24.66,25.24,63,231,12.33,12.77,141
"95013.56298208237 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,147,18.6,18.88,46,241,12.72,13.18,141
"95061.58396291733 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,300,23.47,24.05,71,240,12.72,13.18,142
"95109.45897197723 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,277,23.7,24.23,62,239,13.41,13.87,142
"95157.57895612717 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,343,25.07,25.73,66,228,11.74,12.18,141
"95205.51494073868 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,299,24.06,24.64,63,211,11.98,12.39,141
"95253.57895612717 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,303,25.1,25.68,63,222,12.92,13.34,142
"95301.50999355316 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,232,21.51,21.95,47,197,10.75,11.13,141
"95349.94594192505 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,329,26.23,26.86,62,222,13.66,14.08,141
"95397.52799415588 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,214,22.76,23.17,46,239,15.18,15.64,148
"95446.27495956421 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,316,25.27,25.88,64,201,10.85,11.24,141
"95499.19198513031 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,294,24.53,25.1,62,247,14.2,14.67,141
"95541.99696350098 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,194,20.94,21.31,47,205,11.76,12.16,141
"95589.59194993973 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,280,25.15,25.69,63,203,11.56,11.96,141
"95643.51796293259 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,186,21.04,21.4,56,202,11.84,12.22,133
"95685.58396291733 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,283,26.48,27.02,63,210,12.4,12.81,141
"95735.68896055222 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,208,23.23,23.63,54,223,11.47,11.9,141
"95781.5129737854 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,290,25.98,26.54,59,226,11.84,12.27,141
"95831.78498363495 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,181,21.06,21.41,47,232,13.24,13.68,141
"95877.62795114517 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,262,24.46,24.96,63,239,12.23,12.69,141
"95925.64499807358 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,265,25.1,25.61,63,236,13.04,13.49,141
"95973.62795114517 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,146,20.57,20.85,31,227,12.16,12.59,141
"96021.55296850204 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,283,26.08,26.63,58,215,12.3,12.72,142
"96069.49395990372 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,209,22.81,23.21,62,242,13.29,13.75,142
"96119.45393943787 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,201,22.44,22.83,52,227,12.52,12.96,133
"96165.43095779419 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,142,20.47,20.75,46,217,12.13,12.55,126
"96213.56399536133 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,167,21.23,21.56,44,202,11.69,12.08,141
"96261.54295492172 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,281,26.06,26.6,63,197,11.93,12.31,141
"96309.57996940613 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,202,22.76,23.15,53,219,13.51,13.93,141
"96357.48597288132 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,201,22.88,23.27,41,215,13.04,13.45,141
"96405.58294963837 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,216,23.72,24.14,46,218,13.04,13.46,141
"96453.59296321869 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,133,20.92,21.17,31,207,12.7,13.09,141
"96501.58896970749 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,268,25.39,25.91,63,273,15.4,15.93,160
"96551.57994365692 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,138,21.26,21.52,44,261,17.2,17.7,141
"96597.55499505997 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,134,21.46,21.71,31,236,11.71,12.17,141
"96651.49996232986 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,149,21.97,22.26,31,222,12.77,13.2,141
"96693.6459517479 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,254,25.34,25.83,47,230,12.45,12.89,141
"96742.05299186707 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,193,23.65,24.02,47,232,12.06,12.5,141
"96789.64797830582 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,208,23.87,24.27,47,234,12.33,12.78,141
"96839.75798273087 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,148,21.95,22.23,22,226,12.87,13.3,141
"96885.59594345093 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,145,22.39,22.67,47,235,13.46,13.91,132
"96935.78599691391 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,223,25.27,25.7,46,231,12.25,12.7,144
"96983.55997610092 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,271,26.67,27.19,63,222,12.7,13.12,126
"97033.56197690964 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,146,22.49,22.77,31,228,12.92,13.36,157
"97077.573949337 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,211,24.75,25.16,63,231,13.29,13.73,141
"97129.66497373581 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,165,23.77,24.09,47,238,13.85,14.31,141
"97173.53794813156 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,160,23.94,24.25,52,234,13.14,13.59,136
"97223.75398921967 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,282,27.39,27.93,47,249,12.84,13.32,141
"97269.61394405365 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,188,25.15,25.51,47,226,11.98,12.42,141
"97319.6959939003 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,219,26.33,26.75,47,239,11.93,12.39,141
"97365.63999128342 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,253,27.68,28.17,55,254,13.41,13.9,145
"97419.21594619751 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,136,24.02,24.28,31,252,13.58,14.07,141
"97461.60995054245 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,129,23.99,24.24,31,305,15.26,15.84,141
"97514.91398906708 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,159,24.95,25.26,47,254,13.78,14.27,141
"97559.46895980835 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,215,27.09,27.5,41,251,14.15,14.63,141
"97607.40297746658 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,150,25.02,25.31,45,264,13.39,13.89,141
"97655.45799255371 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,146,24.93,25.21,31,267,15.13,15.65,157
"97703.69295406342 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,150,24.95,25.24,38,259,14.12,14.62,141
"97752.00498437881 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,234,28.05,28.5,58,226,13.02,13.45,145
"97798.31197404861 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,140,25.0,25.27,43,253,14.42,14.91,141
"97846.33194160461 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,149,25.66,25.95,31,225,12.7,13.13,141
"97894.36895608902 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,152,26.03,26.33,32,252,14.17,14.66,141
"97942.31799411774 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,132,25.39,25.65,47,239,13.85,14.31,128
"97989.6339712143 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,152,26.62,26.92,45,247,14.35,14.82,141
"98038.49198007584 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,264,30.86,31.36,63,250,14.27,14.75,141
"98088.22999191284 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,149,26.62,26.91,47,213,12.77,13.18,141
"98136.27696037292 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,252,30.71,31.19,62,272,14.81,15.34,141
"98182.78797674179 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,217,28.89,29.3,63,248,14.3,14.77,141
"98230.95898246765 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,138,26.35,26.62,40,257,14.67,15.16,141
"98278.55897569656 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,161,26.85,27.15,47,295,17.74,18.31,157
"98327.49798727036 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,183,27.83,28.18,47,247,14.79,15.26,141
"98375.39499044418 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,163,27.93,28.24,31,261,14.39,14.9,157
"98425.65197992325 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,191,28.25,28.61,47,235,13.31,13.76,141
"98471.4929804802 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,188,28.91,29.27,47,253,14.27,14.76,157
"98521.29298114777 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,183,29.72,30.08,36,261,15.62,16.13,157
"98567.08296012878 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,207,31.0,31.4,57,253,13.53,14.02,144
"98615.61296463013 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,149,28.4,28.68,31,272,15.99,16.52,154
"98661.53598117828 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,187,29.99,30.35,46,283,15.53,16.07,157
"98709.60095024109 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,169,29.48,29.8,46,222,14.17,14.6,145
"98757.62097740173 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,210,31.62,32.02,46,237,14.03,14.48,143
"98805.64398479462 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,200,30.71,31.09,46,257,13.93,14.42,157
"98853.5209608078 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,238,32.55,33.01,62,198,13.21,13.59,143
"98901.58098268509 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,217,31.54,31.96,50,243,15.21,15.67,142
"98949.62699747086 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,188,31.2,31.56,46,251,16.73,17.21,142
"98998.97197628021 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,211,31.57,31.98,49,240,15.45,15.91,139
"99062.19398927689 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,169,30.81,31.13,47,235,13.24,13.69,156
"99094.06896591187 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,137,30.17,30.43,47,235,13.83,14.28,141
"99142.01198387146 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,144,29.67,29.95,54,249,15.43,15.91,149
"99191.13696193695 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,192,32.04,32.41,47,276,16.26,16.8,157
"99241.5589966774 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,216,32.92,33.34,63,221,14.81,15.24,126
"99287.42598485947 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,310,35.85,36.45,60,277,15.01,15.54,153
"99337.56096363068 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,178,31.03,31.37,31,240,14.03,14.49,141
"99383.2259516716 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,209,32.31,32.71,47,259,15.3,15.8,141
"99433.27498054504 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,203,32.46,32.85,47,247,15.18,15.66,157
"99477.573949337 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,166,31.62,31.94,47,260,16.07,16.57,141
"99525.49896669388 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,167,31.64,31.96,31,279,16.41,16.95,157
"99573.70496034622 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,180,31.74,32.09,29,255,15.06,15.55,157
"99621.59194993973 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,174,32.04,32.37,47,238,14.49,14.95,141
"99669.61996412277 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,196,33.69,34.06,46,238,15.03,15.49,141
"99717.56298208237 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,231,34.55,34.99,63,274,14.99,15.51,141
"99765.53699445724 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,183,33.78,34.14,47,255,14.67,15.16,141
"99813.60399007797 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,211,35.06,35.47,47,244,14.62,15.08,153
"99862.11194086075 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,158,33.69,33.99,47,245,15.8,16.27,149
"99909.56399536133 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,147,33.51,33.8,35,273,16.34,16.86,153
"99957.95595550537 AFC_0 Guidance TM(139,14) APID(292).png",1020x1020,218,36.22,36.64,59,276,14.94,15.47,141
